nameTeam,isWin,fgmTeam,fg3mTeam,fgaTeam,fg3aTeam,ftaTeam,ftmTeam,plusminusTeam
Toronto Raptors,FALSE,39,10,94,38,17,15,-16
Utah Jazz,TRUE,44,19,80,46,13,12,16
Denver Nuggets,FALSE,32,12,89,36,16,13,-14
Philadelphia 76ers,TRUE,43,11,85,29,12,6,14
Dallas Mavericks,FALSE,37,12,90,40,23,18,-8
Phoenix Suns,TRUE,44,14,85,29,14,10,8
Denver Nuggets,FALSE,39,14,82,37,20,16,-6
Chicago Bulls,TRUE,41,8,93,31,24,24,6
Brooklyn Nets,TRUE,41,10,91,33,25,23,2
Orlando Magic,FALSE,40,14,89,38,25,19,-2
Los Angeles Lakers,FALSE,39,12,84,30,24,18,-22
Boston Celtics,TRUE,44,11,88,30,38,31,22
LA Clippers,FALSE,34,9,90,37,5,4,-13
New Orleans Pelicans,TRUE,38,13,87,30,8,5,13
Golden State Warriors,TRUE,38,12,80,30,21,17,3
Detroit Pistons,FALSE,32,14,80,42,30,24,-3
Charlotte Hornets,TRUE,44,12,81,31,28,21,3
